Year, Born
1949, 1275
1950, 1419
1951, 1349
1952, 1622
1953, 1637
1954, 2232
1955, 1965
1956, 1961
1957, 2138
1958, 1889
1959, 1635
1960, 1402
1961, 949
1962, 2451
1963, 2934
1964, 2721
1965, 2679
1966, 2554
1967, 2543
1968, 2731
1969, 2690
1970, 2710
1971, 2551
1972, 2550
1973, 2447
1974, 2226
1975, 2102
1976, 1849
1977, 1783
1978, 1733
1979, 1715
1980, 1776
1981, 2064
1982, 2230
1983, 2052
1984, 2050
1985, 2196
1986, 2374
1987, 2508
1988, 2445
1989, 2396
1990, 2374
1991, 2250
1992, 2113
1993, 2120
1994, 2098
1995, 2052
1996, 2057
1997, 2028
1998, 1934
1999, 1827
2000, 1765
2001, 1696
2002, 1641
2003, 1594
2004, 1588
2005, 1612
2006, 1581
2007, 1591
2008, 1604
2009, 1587
2010, 1588
2011, 1600
2012, 1635
2013, 1640
2014, 1687
2015, 1655
2016, 1786
2017, 1723
2018, 1523
2019, 1465
2020, 1200
2021, 1062
2022, 956
